   ,TELEPULES,LEIRO_FID,GEOM_FIDS,ANYAG,MERET,HOSSZ,HIBA_DB
4661,sopron,65614,1396135;1396139;1396144;1396148;1396149,ac,200,42.8300,
4662,sopron,65615,1391358;1391359;7846692;26991595;57970776;57970777;80584828;80584829,kpe,110,291.9700,
4663,sopron,65616,1379225;2811238;2811239;29791718,ac,80,85.3000,1
4664,sopron,65617,2837278;2837279,kpe,110,19.2900,
4665,sopron,65618,2824446;2824447,ac,80,41.6900,
4666,sopron,65619,1359242;2837502;2837503,ac,80,43.3300,
4667,sopron,65621,786364,ov,80,37.9700,1
4668,sopron,65622,1385954;1398525;1398529;1398534;1398535;2812663;2812664,ac,200,261.1700,
4669,sopron,65624,2809353;2842303,kpe,160,6.8800,
4670,sopron,65625,2842225;2842232;2842233,kpe,110,63.4400,
4671,sopron,65626,2845487;2845488,kpe,315,34.4100,
4672,sopron,65627,1402849;2817663;2817664,kpe,315,58.2500,
4673,sopron,65628,786291,ac,80,0.3000,
4674,sopron,65629,1351597;1351837;1353157;1353164;1353169;1353170;2828976;2828977,ac,125,83.9100,
4675,sopron,65630,1351860;1351865;1351881;1351887;1351893;1351898;1351903;1351908;1351913;1353180;1353181;1355020;1355021;1390987;1390988;2806153;2806154;2817572;2817573,ov,80,188.8900,1
4676,sopron,65631,1371551;1371552,gov,150,81.2400,
4677,sopron,65632,2820184;2820185,ac,80,22.2000,
4678,sopron,65633,782928,ac,125,32.8100,
4679,sopron,65634,1386194;1386195;1386538;1386630;1386637;1393780;1394625;1394626;1394632;1394633;2811154;2811155,ac,125,99.5800,
4680,sopron,65635,1368294;1368299;1368304;1368309;1368314;1368319;1368360;1368364;1370932;1370933;2806116;2806117;52089104;52089105,ac,125,144.5900,
4681,sopron,65636,1351817;1351822;1351827;1354903;1354909;1354915;1354926;1354927;1354932;1354933;1355925;1373682;1373683;1391000;1403826;1403827;1403833;1403838;1403843;1403848;1403853;1403858;1403859;2807339;2807340,ov,125,201.1400,
4682,sopron,65637,1353411;1353415;1353425;1353426;1353431;1353436;1353441;1353446;1353451;1353456;1404081;1404091;1404092;1404097;1404102;1404107;1404112;1404117;1404122;1404127;1404137;1404138;2829211;2829212,ac,100,234.9600,
4683,sopron,65638,1363216;1363222;1363228;1363234;1363245;1363246;1363252;1363258;1363264;1363270;1363276;1363281;1363282;1363288;1363293;2823230;2823231;2825012;2825013,ov,80,132.7400,
4684,sopron,65639,1363170;1363175;1363180;1363185;1363190;1363196;1363200;1363201;2843876;2843877,ov,80,76.4200,1
4685,sopron,65640,1379096;1379100;1379105;1379106,kpe,90,47.7300,1
4686,sopron,65641,786172,gov,200,0.5300,
4687,sopron,65642,1371307;2844027;2844028,ac,200,17.1900,
4688,sopron,65643,6290143;6290144,kpe,250,81.5200,
4689,sopron,65644,1374293;2845540;2845541,kpe,110,45.5000,
4690,sopron,65645,1364002;1364042;1364047;1364054;1364055,kpe,160,46.2900,
4691,sopron,65646,1364427;1364432;2829796;2829797;2846704;2846705,kpe,160,138.6300,
4692,sopron,65647,1404038;1404043;1404048;1404052;1404053;2845032;2845033,kpe,160,78.9800,
4693,sopron,65648,786102,kpe,110,15.7600,
4694,sopron,65649,1364288;1364292;1364297;1364302;1364307;1388548;2846137;2846138,ac,200,83.0200,2
4695,sopron,65682,1407054;1407058;1407379;1407731;1407732;1407737;1407738,kpe,63,46.5400,
4696,sopron,65760,2833116;2833117,kpe,200,26.1000,
4697,sopron,65761,1393160;1393175;1397725;1397726;1397730;1397731;69786441;82832806;82832807,ac,50,60.3200,
4698,sopron,65771,1364282;1377291;1377292;1377344;1377350;1377355;1377356;1377361;1377362;1377367;1377368;2834373;2834374,ac,200,88.8100,1
4699,sopron,65772,1369341;1369342,ac,100,20.3000,
4700,sopron,65773,2816452;2816453,ac,100,18.1700,
4701,sopron,65774,1360125;1360126,ac,100,11.2200,
4702,sopron,65775,1402789;1402794;1402800;1402806;1402812;1402813;1402818;1403218;1403219;2830728;2830729,ov,80,94.1000,4
4703,sopron,65776,1394740;1403518;1403700;1404201;1404207;1404208;2817916;2817917,ov,80,69.0500,5
4704,sopron,65777,1403647;1407789;1407790,ac,80,35.5400,
4705,sopron,65778,2846630;2846631,kpe,110,12.3600,
4706,sopron,65779,1372299;1386104;1386118;1386123;1386124;1386130;1386131;1386136;1386137;1386143;1386149;1386162;1386168;1386174;1386179;1386180;1386660;1386667;1386672;1386673;1389142;1389149;1389163;1389176;1389187;1389188;1389194;1389438;1389439;1389444;1389445;1389450;1389451;1389456;1389457;1389462;1389463;1389469;1389470;1389475;1389476;1394618;1394619;1405094;1405095;6270680;6270681;6270711;6270712,ac,125,463.8700,4
4707,sopron,65780,1387311;1387326;1387331;1387595;1393772;14559940;14559941;45227429;45227430;83995232;83995233,ac,125,118.9600,1
