,LEIRO_FID,GEOM_FIDS,ANYAG,MERET,HOSSZ,HIBA_DB
2457,47742,1374156;1403261;1403761;1403767;1403772;1403773;2815148;2815149;2819702;2819703,ov,80,115.4800,
2458,70438,1351974;2812715;2812716,ac,250,262.9900,
2459,48723,2818377;2818378,ac,50,0.8000,
2460,45124,1371450;1371451;1371456;1371460;1371461,kpe,63,48.4000,
2461,44288,1373346;2812004;2812005,kpe,110,26.9000,
2462,44321,2818612;54870835,ac,100,6.0600,1
2463,70486,1377564;1377568;1377573;1377578;1377583;1377584,ov,50,46.8100,1
2464,71560,1407332;1408863;1408864;2813318;2813319;6283362;6283363,kpe,90,117.4200,
2465,46290,786099,ac,100,11.9400,
2466,46311,1363682;1363687;1364803;1364808;1364809;1364814;1364815;1397002;1397003;2811093;2811094;2837665;2837666,ac,200,93.2400,1
2467,45465,1368168;1368169,kpe,110,23.6800,
2468,46322,2818525;2818526,ac,125,15.1000,2
2469,47482,1368828;1370650;1371693;1371699;1371700;1371705;1371712;1371713,kpe,110,129.2800,
2470,47500,3999555;3999556,ac,150,7.7400,
2471,47515,1359889;1373609;1373614;1373619;1374225;1389391;2806672;2806673;2809248;2809249;13609691;13609692,kpe,110,94.9200,
2472,46104,1402434;1402435,kpe,160,8.2900,
2473,46115,2842216;2842217,kpe,110,50.9800,
2474,48764,1406928;1406929,kpe,90,106.2100,
2475,45197,1362186;2847495;2847496,kpe,110,36.7800,
2476,44354,6283344;6283345,kpe,200,1.7000,
2477,46118,1351601;1353143;1353148;1353153;2847380;2847381,ac,125,88.6700,
2478,46128,1403864;1404380;2843895;2843896,ov,125,32.5500,
2479,58361918,58361998;58362013;58362040;58362041;58362068;58362069;58362111;58362125;58362153;58362166;58362167;58362180;58362181;58362246;58362247;59036085;59036086;60562824,gov,100,178.2600,
2480,46657,38046787;38046788,ac,250,161.3300,3
2481,46667,2827610;2827611,ac,100,4.4000,
2482,46677,2833567;2833568,kpe,200,166.9900,
2483,48591,2814113;2814114,kpe,110,10.7500,
2484,46678,1352487;1352488,gov,200,100.2400,
2485,46688,2815875;6284788;6284789,ac,150,256.5600,
2486,47864,1348976;1365158;1365159,kpe,110,9.4300,
2487,47506,1375052;1375062;1375067;1375072;1375076;1375077;1408815;1408816;59065835;59065836,kpe,90,128.4500,
2488,46142,786169,ac,200,40.4200,
2489,44131,1367045;1367049;1367050;2845683;2845684,kpe,110,49.9900,1
2490,46964,2844644;2844645,ov,100,4.6400,
2491,47018,1393414;1393415;2815020;2815021,kpe,160,210.7700,
